role,method,dataset,domain,windows,series,mse,mae,rmse,mase,rmsse,smape,wape_numerator,wape_denominator,wape,patchtst_mse,relative_mse_reduction
confirmation,auto_theta,bitcoin,economic,144,18,4136.216623040736,20.221224441291298,25.50043125280403,1.5922395758586492,1.337217888613443,0.18857123981895899,2.845760910570122e+21,2.944461e+22,0.09664793730249402,9390.32478097645,0.5595235820362507
confirmation,auto_theta,fred_md,macroeconomic,192,24,17.29741526884605,0.8976831668648958,1.0404155265893056,0.582778067226772,0.57906235828144,0.09662976693886187,18409091.15722021,2.5137315e+08,0.07323411832469766,40.255214690246945,0.5703062223877078
confirmation,auto_theta,kdd_air,air_quality,192,24,1.7665435591696577,0.5921209449811171,0.6995916689106455,0.8369929680024328,0.7805755344516011,0.5138638300551253,92156.97080908231,237219.4,0.38848832928938465,1.1057381086564229,-0.5976147926349182
confirmation,auto_theta,m4_hourly,competition_hourly,192,24,0.42739645736698867,0.3687425062011316,0.45067522750004524,1.6086063005449684,1.4828034748903687,0.13868644441058683,3273952.3584610797,7.485511e+07,0.04373719136858789,0.5009415711731597,0.1468137564106231
confirmation,auto_theta,m4_weekly,competition_weekly,192,24,1.9629900238759956,0.6208118593309943,0.72731678524595,3.18224687728053,2.707162453679166,0.07000129538264471,625574.7339476349,1.4279037e+07,0.0438107089398,2.6003773882075536,0.2451134082391443
confirmation,auto_theta,nn5,banking,192,24,1.1265201443906563,0.7756204035500739,0.9931110548046144,1.1966681057324549,1.0977274373132253,0.3722876002992597,59862.56361718284,198289.8,0.30189432114310766,0.830744318037187,-0.35603713432828976
confirmation,auto_theta,pedestrian,transport,192,24,1.3807026453178566,0.7815153067576451,0.9435761867560761,3.2580650196986762,2.7727971693047295,1.1097636734760965,1775120.5809523608,1.918964e+06,0.9250411060094722,0.26949376454565516,-4.12331944913683
confirmation,auto_theta,rideshare,mobility,192,24,0.2538811214323841,0.3218167101730987,0.3954438078307167,560767.8464207748,156.91457216143075,0.18984269103200513,3545.217078762995,20529.19,0.17269152719633232,2.7234766475307595,0.906780503639506
confirmation,auto_theta,temperature_rain,climate,192,24,8.489607750187401,1.4166687041514516,1.8276553556659791,1.4987672339983078,1.0575346659608786,1.5256883173590472,46824.05239283538,41609.645,1.1253172893046277,4.469381644411449,-0.8995038745019406
confirmation,auto_theta,tourism_monthly,tourism,192,24,14.338056243888245,2.2772695409459325,2.8125434384240524,1.516935091326152,1.483903395546047,0.29650030891271056,22463573.576962233,1.5730925e+08,0.14279881102071146,13.826759269397877,-0.036978800637832654
confirmation,chronos,bitcoin,economic,144,18,6326.425274817913,23.628063351669752,28.911273591522065,76.6473909288182,1.637569276449491,0.2820362519627628,3.7214321163924653e+21,2.944461e+22,0.1263875459546355,9390.32478097645,0.32628259166984197
confirmation,chronos,fred_md,macroeconomic,192,24,22.669747326677328,0.8670996022725982,1.0347577400644867,0.6026089610034756,0.5934677695041024,0.08843134344037677,17318503.411920995,2.5137315e+08,0.06889559713966985,40.255214690246945,0.43684942432639007
confirmation,chronos,kdd_air,air_quality,192,24,1.0241475008464926,0.4790430903512464,0.5853818080990871,956.5466472803924,0.7364658943930255,0.42883613418739075,77835.9686256531,237219.4,0.3281180484181112,1.1057381086564229,0.07378836559144242
confirmation,chronos,m4_hourly,competition_hourly,192,24,0.19324737311744625,0.23741640786026133,0.29806363258042395,0.9958464863564775,0.9336584832693964,0.07414136252607145,2372041.033032829,7.485511e+07,0.031688430751834674,0.5009415711731597,0.6142317103671824
confirmation,chronos,m4_weekly,competition_weekly,192,24,1.3210321795799003,0.5512166084353083,0.683035010453724,3.1545074412709186,2.7385325770959184,0.05970032976585473,580954.3192955971,1.4279037e+07,0.040685819309495254,2.6003773882075536,0.4919844382701347
confirmation,chronos,nn5,banking,192,24,1.0057466037909948,0.7395411576656096,0.9745246433391639,1.2139605056717673,1.1378644256088686,0.30306141124293456,57120.36643686161,198289.8,0.28806508119462015,0.830744318037187,-0.21065721661183145
confirmation,chronos,pedestrian,transport,192,24,0.08452980648018876,0.1436388210093153,0.21163307908741524,0.6545141716438377,0.6552872956796008,0.35248488849944004,297825.92644904024,1.918964e+06,0.15520141412191174,0.26949376454565516,0.6863385443344144
confirmation,chronos,rideshare,mobility,192,24,0.27227389693149917,0.2771031860051557,0.3564384597401127,561259.4774569409,156.8885853092169,0.2254621394306661,3229.6873091602756,20529.19,0.15732171582003912,2.7234766475307595,0.9000270859020009
