dataset,domain,method,horizon_step,normalized_horizon,mse
m4_hourly,competition_hourly,patchtst,1,0.020833333333333332,0.2967955792451886
m4_hourly,competition_hourly,patchtst,2,0.041666666666666664,0.424967884017349
m4_hourly,competition_hourly,patchtst,3,0.0625,0.4197555098601471
m4_hourly,competition_hourly,patchtst,4,0.08333333333333333,0.4612844079165124
m4_hourly,competition_hourly,patchtst,5,0.10416666666666667,0.5228604590181571
m4_hourly,competition_hourly,patchtst,6,0.125,0.5873908432193858
m4_hourly,competition_hourly,patchtst,7,0.14583333333333334,0.6092111901733742
m4_hourly,competition_hourly,patchtst,8,0.16666666666666666,0.6051979765169149
m4_hourly,competition_hourly,patchtst,9,0.1875,0.6022324090791381
m4_hourly,competition_hourly,patchtst,10,0.20833333333333334,0.6045003406528209
m4_hourly,competition_hourly,patchtst,11,0.22916666666666666,0.5687914949342
m4_hourly,competition_hourly,patchtst,12,0.25,0.4932222390426384
m4_hourly,competition_hourly,patchtst,13,0.2708333333333333,0.5175480323008286
m4_hourly,competition_hourly,patchtst,14,0.2916666666666667,0.48517131458648466
m4_hourly,competition_hourly,patchtst,15,0.3125,0.4582544438775948
m4_hourly,competition_hourly,patchtst,16,0.3333333333333333,0.42833531570537614
m4_hourly,competition_hourly,patchtst,17,0.3541666666666667,0.40794852921421015
m4_hourly,competition_hourly,patchtst,18,0.375,0.3919925748010031
m4_hourly,competition_hourly,patchtst,19,0.3958333333333333,0.3426157268371619
m4_hourly,competition_hourly,patchtst,20,0.4166666666666667,0.2778202811491028
m4_hourly,competition_hourly,patchtst,21,0.4375,0.2732837609555609
m4_hourly,competition_hourly,patchtst,22,0.4583333333333333,0.2879577174429726
m4_hourly,competition_hourly,patchtst,23,0.4791666666666667,0.3279619113937223
m4_hourly,competition_hourly,patchtst,24,0.5,0.3641674797450889
m4_hourly,competition_hourly,patchtst,25,0.5208333333333334,0.45927404592377163
m4_hourly,competition_hourly,patchtst,26,0.5416666666666666,0.571342080186528
m4_hourly,competition_hourly,patchtst,27,0.5625,0.6081972285710632
m4_hourly,competition_hourly,patchtst,28,0.5833333333333334,0.6392343353962721
m4_hourly,competition_hourly,patchtst,29,0.6041666666666666,0.7611504533434349
m4_hourly,competition_hourly,patchtst,30,0.625,0.7844367756785879
m4_hourly,competition_hourly,patchtst,31,0.6458333333333334,0.8056351999061965
m4_hourly,competition_hourly,patchtst,32,0.6666666666666666,0.7940541860919383
m4_hourly,competition_hourly,patchtst,33,0.6875,0.7082369647926662
m4_hourly,competition_hourly,patchtst,34,0.7083333333333334,0.6693817916360879
m4_hourly,competition_hourly,patchtst,35,0.7291666666666666,0.6179463876537891
m4_hourly,competition_hourly,patchtst,36,0.75,0.5565649753037185
m4_hourly,competition_hourly,patchtst,37,0.7708333333333334,0.49088003144063547
m4_hourly,competition_hourly,patchtst,38,0.7916666666666666,0.5133687225168669
m4_hourly,competition_hourly,patchtst,39,0.8125,0.4918368700392872
m4_hourly,competition_hourly,patchtst,40,0.8333333333333334,0.5015299164294401
m4_hourly,competition_hourly,patchtst,41,0.8541666666666666,0.44826055298275547
m4_hourly,competition_hourly,patchtst,42,0.875,0.45903986976692307
m4_hourly,competition_hourly,patchtst,43,0.8958333333333334,0.4006511586339494
m4_hourly,competition_hourly,patchtst,44,0.9166666666666666,0.38008078168756465
m4_hourly,competition_hourly,patchtst,45,0.9375,0.42121380504397443
m4_hourly,competition_hourly,patchtst,46,0.9583333333333334,0.4068570769497996
