dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_hourly,chronos,0,644,0.4677591145323176,0.5,1.496630350748698
m4_hourly,chronos,0,652,0.7770104802627531,0.2916666666666667,1.2800000508626301
m4_hourly,chronos,0,660,0.8771475456137625,0.1875,1.2116457621256511
m4_hourly,chronos,0,668,0.7577868418043687,0.16666666666666666,1.3421122233072917
m4_hourly,chronos,0,676,0.31989882552168436,0.9375,1.975529670715332
m4_hourly,chronos,0,684,0.2969205524875886,0.9791666666666666,1.9946130116780598
m4_hourly,chronos,0,692,0.20925094788997534,0.9583333333333334,1.7709248860677083
m4_hourly,chronos,0,700,0.2113301633288049,0.9791666666666666,1.7753321329752605
m4_hourly,chronos,1,644,0.09256365140123912,1.0,0.8355738321940104
m4_hourly,chronos,1,652,0.08852145256112433,0.9375,0.7082290649414062
m4_hourly,chronos,1,660,0.10250403508802669,0.9166666666666666,0.7535603841145834
m4_hourly,chronos,1,668,0.07907617730605934,1.0,0.663873036702474
m4_hourly,chronos,1,676,0.09397465215168066,1.0,0.6605224609375
m4_hourly,chronos,1,684,0.13513399243561755,0.7083333333333334,0.6607195536295573
m4_hourly,chronos,1,692,0.1789579524115349,0.3958333333333333,0.5794576009114584
m4_hourly,chronos,1,700,0.12127943229085456,0.8958333333333334,0.7059300740559896
m4_hourly,chronos,2,867,0.02264870089242726,0.75,0.11307271321614583
m4_hourly,chronos,2,880,0.02044655095653272,0.9583333333333334,0.156646728515625
m4_hourly,chronos,2,894,0.018836779970054826,0.8958333333333334,0.13140424092610678
m4_hourly,chronos,2,907,0.02043739687133994,0.9166666666666666,0.13983027140299478
m4_hourly,chronos,2,920,0.023791769829889134,0.8958333333333334,0.15719731648763022
m4_hourly,chronos,2,933,0.021190183889120816,0.9166666666666666,0.14395904541015625
m4_hourly,chronos,2,947,0.028526411464230874,0.7708333333333334,0.1391423543294271
m4_hourly,chronos,2,960,0.02602032790374425,0.7916666666666666,0.13444010416666666
m4_hourly,chronos,3,644,0.759682607723193,0.5833333333333334,2.3727569580078125
m4_hourly,chronos,3,652,0.4085561986805664,1.0,3.23138427734375
m4_hourly,chronos,3,660,0.3652689647498644,0.9375,2.9786453247070312
m4_hourly,chronos,3,668,0.30670828545569545,1.0,3.0597813924153647
m4_hourly,chronos,3,676,0.2836591365798894,0.9791666666666666,2.991521199544271
m4_hourly,chronos,3,684,0.23469251742483013,0.9791666666666666,1.9248860677083333
m4_hourly,chronos,3,692,0.22083994663941364,1.0,2.1752471923828125
m4_hourly,chronos,3,700,0.1883658582292911,1.0,1.7490386962890625
m4_hourly,chronos,4,867,0.022282546109312937,0.9791666666666666,0.1711881955464681
m4_hourly,chronos,4,880,0.020595894875522287,0.9791666666666666,0.16512044270833334
m4_hourly,chronos,4,894,0.024686961351997324,0.9791666666666666,0.16966946919759116
m4_hourly,chronos,4,907,0.022362846568123332,0.8958333333333334,0.15501721700032553
m4_hourly,chronos,4,920,0.021401336031138068,0.9166666666666666,0.16258653004964194
m4_hourly,chronos,4,933,0.022270627482794222,0.9583333333333334,0.17607498168945312
m4_hourly,chronos,4,947,0.022414609246576827,0.8333333333333334,0.1366424560546875
m4_hourly,chronos,4,960,0.019180833889792363,0.9375,0.1331017812093099
m4_hourly,chronos,5,867,0.028988128238254123,0.8333333333333334,0.16501871744791666
m4_hourly,chronos,5,880,0.03663927846484714,0.7083333333333334,0.16654459635416666
m4_hourly,chronos,5,894,0.03379399817850855,0.7916666666666666,0.15494791666666666
m4_hourly,chronos,5,907,0.03622712708181805,0.7083333333333334,0.15254720052083334
m4_hourly,chronos,5,920,0.03413419806294971,0.75,0.15450032552083334
m4_hourly,chronos,5,933,0.02579354263014264,0.9375,0.1865234375
m4_hourly,chronos,5,947,0.023221660902102786,0.9166666666666666,0.15165201822916666
m4_hourly,chronos,5,960,0.01736381807261043,0.9583333333333334,0.139892578125
m4_hourly,chronos,6,867,0.019520961246194526,0.8958333333333334,0.15195409456888834
m4_hourly,chronos,6,880,0.021039537331348074,0.9583333333333334,0.18922106424967447
m4_hourly,chronos,6,894,0.018075143085378737,0.9791666666666666,0.15889453887939453
m4_hourly,chronos,6,907,0.018106477558871525,0.9166666666666666,0.1533228556315104
m4_hourly,chronos,6,920,0.021694637963082644,0.9583333333333334,0.17667007446289062
m4_hourly,chronos,6,933,0.020478515496425747,0.9791666666666666,0.1822967529296875
m4_hourly,chronos,6,947,0.018886803607973787,0.9583333333333334,0.16363525390625
m4_hourly,chronos,6,960,0.0186805869349175,0.9583333333333334,0.16229248046875
