dataset,domain,method,horizon_step,normalized_horizon,mse
m4_hourly,competition_hourly,patchtst,1,0.020833333333333332,0.13544478903628676
m4_hourly,competition_hourly,patchtst,2,0.041666666666666664,0.19673182582134707
m4_hourly,competition_hourly,patchtst,3,0.0625,0.17925965184399592
m4_hourly,competition_hourly,patchtst,4,0.08333333333333333,0.2531640745428608
m4_hourly,competition_hourly,patchtst,5,0.10416666666666667,0.2525211755465136
m4_hourly,competition_hourly,patchtst,6,0.125,0.29798326646142675
m4_hourly,competition_hourly,patchtst,7,0.14583333333333334,0.29021703789547176
m4_hourly,competition_hourly,patchtst,8,0.16666666666666666,0.30869031748941644
m4_hourly,competition_hourly,patchtst,9,0.1875,0.33745354308243325
m4_hourly,competition_hourly,patchtst,10,0.20833333333333334,0.3154342488100635
m4_hourly,competition_hourly,patchtst,11,0.22916666666666666,0.3738084682146983
m4_hourly,competition_hourly,patchtst,12,0.25,0.3886866237282108
m4_hourly,competition_hourly,patchtst,13,0.2708333333333333,0.4109485267985808
m4_hourly,competition_hourly,patchtst,14,0.2916666666666667,0.3872958917692623
m4_hourly,competition_hourly,patchtst,15,0.3125,0.3781209539053001
m4_hourly,competition_hourly,patchtst,16,0.3333333333333333,0.39755412535925433
m4_hourly,competition_hourly,patchtst,17,0.3541666666666667,0.36343353230384956
m4_hourly,competition_hourly,patchtst,18,0.375,0.3512999455521142
m4_hourly,competition_hourly,patchtst,19,0.3958333333333333,0.29857080679398584
m4_hourly,competition_hourly,patchtst,20,0.4166666666666667,0.2597441903483186
m4_hourly,competition_hourly,patchtst,21,0.4375,0.28429125139121453
m4_hourly,competition_hourly,patchtst,22,0.4583333333333333,0.23970939254885723
m4_hourly,competition_hourly,patchtst,23,0.4791666666666667,0.23904617633220845
m4_hourly,competition_hourly,patchtst,24,0.5,0.23467249443184265
m4_hourly,competition_hourly,patchtst,25,0.5208333333333334,0.24026606344120396
m4_hourly,competition_hourly,patchtst,26,0.5416666666666666,0.25334827741105287
m4_hourly,competition_hourly,patchtst,27,0.5625,0.27602829103623383
m4_hourly,competition_hourly,patchtst,28,0.5833333333333334,0.35453917630705867
m4_hourly,competition_hourly,patchtst,29,0.6041666666666666,0.3541601027868235
m4_hourly,competition_hourly,patchtst,30,0.625,0.32917533584077546
m4_hourly,competition_hourly,patchtst,31,0.6458333333333334,0.3590263851221071
m4_hourly,competition_hourly,patchtst,32,0.6666666666666666,0.340595208747102
m4_hourly,competition_hourly,patchtst,33,0.6875,0.3746248813042756
m4_hourly,competition_hourly,patchtst,34,0.7083333333333334,0.3688893141196934
m4_hourly,competition_hourly,patchtst,35,0.7291666666666666,0.43793123482927915
m4_hourly,competition_hourly,patchtst,36,0.75,0.4498786229528106
m4_hourly,competition_hourly,patchtst,37,0.7708333333333334,0.4390964857594744
m4_hourly,competition_hourly,patchtst,38,0.7916666666666666,0.42708885409916125
m4_hourly,competition_hourly,patchtst,39,0.8125,0.4293197279542705
m4_hourly,competition_hourly,patchtst,40,0.8333333333333334,0.4034666378532319
m4_hourly,competition_hourly,patchtst,41,0.8541666666666666,0.37267436929676506
m4_hourly,competition_hourly,patchtst,42,0.875,0.37443412287802386
m4_hourly,competition_hourly,patchtst,43,0.8958333333333334,0.3764914967811989
m4_hourly,competition_hourly,patchtst,44,0.9166666666666666,0.34264973924336634
m4_hourly,competition_hourly,patchtst,45,0.9375,0.3164171908400058
m4_hourly,competition_hourly,patchtst,46,0.9583333333333334,0.2820768436561582
m4_hourly,competition_hourly,patchtst,47,0.9791666666666666,0.27563521790616385
m4_hourly,competition_hourly,patchtst,48,1.0,0.2683964735999374
m4_hourly,competition_hourly,last_value,1,0.020833333333333332,0.09831479815329557
m4_hourly,competition_hourly,last_value,2,0.041666666666666664,0.33541853202612765
m4_hourly,competition_hourly,last_value,3,0.0625,0.5368163630968349
m4_hourly,competition_hourly,last_value,4,0.08333333333333333,0.8918808525174441
m4_hourly,competition_hourly,last_value,5,0.10416666666666667,1.1980363943156933
m4_hourly,competition_hourly,last_value,6,0.125,1.6587687211917324
m4_hourly,competition_hourly,last_value,7,0.14583333333333334,2.013202668692261
m4_hourly,competition_hourly,last_value,8,0.16666666666666666,2.3669326075540584
m4_hourly,competition_hourly,last_value,9,0.1875,2.688485071649692
m4_hourly,competition_hourly,last_value,10,0.20833333333333334,2.8945835894752876
m4_hourly,competition_hourly,last_value,11,0.22916666666666666,3.024443911608325
m4_hourly,competition_hourly,last_value,12,0.25,3.035706927625519
m4_hourly,competition_hourly,last_value,13,0.2708333333333333,3.0209547182263363
m4_hourly,competition_hourly,last_value,14,0.2916666666666667,2.8881745523685503
m4_hourly,competition_hourly,last_value,15,0.3125,2.745039811482421
m4_hourly,competition_hourly,last_value,16,0.3333333333333333,2.481511709061083
m4_hourly,competition_hourly,last_value,17,0.3541666666666667,2.0996003813961353
m4_hourly,competition_hourly,last_value,18,0.375,1.7615191502163323
m4_hourly,competition_hourly,last_value,19,0.3958333333333333,1.3655020776330886
m4_hourly,competition_hourly,last_value,20,0.4166666666666667,0.9979459424638258
m4_hourly,competition_hourly,last_value,21,0.4375,0.7123829783280088
m4_hourly,competition_hourly,last_value,22,0.4583333333333333,0.4240359317494297
m4_hourly,competition_hourly,last_value,23,0.4791666666666667,0.23864013756909963
m4_hourly,competition_hourly,last_value,24,0.5,0.15933229450607214
m4_hourly,competition_hourly,last_value,25,0.5208333333333334,0.22314007179227266
m4_hourly,competition_hourly,last_value,26,0.5416666666666666,0.4324523610459705
m4_hourly,competition_hourly,last_value,27,0.5625,0.6824543545012474
m4_hourly,competition_hourly,last_value,28,0.5833333333333334,1.0528716527613422
m4_hourly,competition_hourly,last_value,29,0.6041666666666666,1.3565166849970975
m4_hourly,competition_hourly,last_value,30,0.625,1.6644441083707224
m4_hourly,competition_hourly,last_value,31,0.6458333333333334,2.0521200255620156
m4_hourly,competition_hourly,last_value,32,0.6666666666666666,2.3274444508211207
m4_hourly,competition_hourly,last_value,33,0.6875,2.6442583947891496
m4_hourly,competition_hourly,last_value,34,0.7083333333333334,2.8525209622387955
m4_hourly,competition_hourly,last_value,35,0.7291666666666666,3.0952881950076794
m4_hourly,competition_hourly,last_value,36,0.75,3.102608577977757
m4_hourly,competition_hourly,last_value,37,0.7708333333333334,3.045532393557739
m4_hourly,competition_hourly,last_value,38,0.7916666666666666,2.8981701049525816
m4_hourly,competition_hourly,last_value,39,0.8125,2.651797645269955
m4_hourly,competition_hourly,last_value,40,0.8333333333333334,2.3355595713173316
m4_hourly,competition_hourly,last_value,41,0.8541666666666666,1.979075420557825
m4_hourly,competition_hourly,last_value,42,0.875,1.6635897041847425
m4_hourly,competition_hourly,last_value,43,0.8958333333333334,1.3039449995637782
m4_hourly,competition_hourly,last_value,44,0.9166666666666666,0.9888971507888297
m4_hourly,competition_hourly,last_value,45,0.9375,0.6754186522960032
m4_hourly,competition_hourly,last_value,46,0.9583333333333334,0.40971083017211063
m4_hourly,competition_hourly,last_value,47,0.9791666666666666,0.27118807017795316
m4_hourly,competition_hourly,last_value,48,1.0,0.2506938305749911
m4_hourly,competition_hourly,drift,1,0.020833333333333332,0.09938342311805326
m4_hourly,competition_hourly,drift,2,0.041666666666666664,0.33932781752408214
m4_hourly,competition_hourly,drift,3,0.0625,0.5440934091729902
m4_hourly,competition_hourly,drift,4,0.08333333333333333,0.9024391288763445
m4_hourly,competition_hourly,drift,5,0.10416666666666667,1.2118376128472341
m4_hourly,competition_hourly,drift,6,0.125,1.6764855613570868
m4_hourly,competition_hourly,drift,7,0.14583333333333334,2.0341942954009156
m4_hourly,competition_hourly,drift,8,0.16666666666666666,2.3917493882822485
m4_hourly,competition_hourly,drift,9,0.1875,2.714509624539532
m4_hourly,competition_hourly,drift,10,0.20833333333333334,2.921561785579256
m4_hourly,competition_hourly,drift,11,0.22916666666666666,3.0491432622421577
m4_hourly,competition_hourly,drift,12,0.25,3.0555999849572655
m4_hourly,competition_hourly,drift,13,0.2708333333333333,3.0306440661614484
m4_hourly,competition_hourly,drift,14,0.2916666666666667,2.890749326030411
m4_hourly,competition_hourly,drift,15,0.3125,2.7422547985065777
m4_hourly,competition_hourly,drift,16,0.3333333333333333,2.474072899664732
m4_hourly,competition_hourly,drift,17,0.3541666666666667,2.086045500352363
m4_hourly,competition_hourly,drift,18,0.375,1.7448030714154472
