dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_hourly,chronos,0,569,0.4244602149507652,0.5,1.1461893717447917
m4_hourly,chronos,0,573,0.31161648543655046,0.7083333333333334,1.3583780924479167
m4_hourly,chronos,0,576,0.34481008518487216,0.6666666666666666,1.4293619791666667
m4_hourly,chronos,0,580,0.36079822689708735,0.625,1.3761342366536458
m4_hourly,chronos,0,584,0.3964878960202138,0.5208333333333334,1.2537765502929688
m4_hourly,chronos,0,588,0.5938775562991698,0.4583333333333333,1.5987447102864583
m4_hourly,chronos,0,591,0.335350037821465,0.7291666666666666,1.637494405110677
m4_hourly,chronos,0,595,0.3560773126367065,0.6666666666666666,1.5574989318847656
m4_hourly,chronos,1,569,0.07314560391629736,0.9791666666666666,0.6174214680989584
m4_hourly,chronos,1,573,0.08555533450303805,0.9583333333333334,0.6278279622395834
m4_hourly,chronos,1,576,0.09365280439249343,0.9166666666666666,0.5734100341796875
m4_hourly,chronos,1,580,0.07629460910749103,0.9583333333333334,0.6472222805023193
m4_hourly,chronos,1,584,0.07621979531314638,0.9791666666666666,0.6753946940104166
m4_hourly,chronos,1,588,0.10921941082924604,0.9375,0.7321523030598959
m4_hourly,chronos,1,591,0.07466423168467978,0.9375,0.6358629862467448
m4_hourly,chronos,1,595,0.0714448246328781,0.9375,0.5963109334309896
m4_hourly,chronos,2,767,0.02684175338993858,0.7916666666666666,0.15674146016438803
m4_hourly,chronos,2,774,0.02421324568519291,0.8541666666666666,0.1378021240234375
m4_hourly,chronos,2,782,0.024342761895806888,0.7916666666666666,0.13311004638671875
m4_hourly,chronos,2,789,0.020578697144487196,0.9375,0.14984862009684244
m4_hourly,chronos,2,796,0.0189944827515218,0.8958333333333334,0.13152440388997397
m4_hourly,chronos,2,803,0.023547699654267895,0.8541666666666666,0.14201250672340393
m4_hourly,chronos,2,811,0.018633977603167293,0.9791666666666666,0.13522442181905112
m4_hourly,chronos,2,818,0.01986553637414343,0.8333333333333334,0.10730489095052083
m4_hourly,chronos,3,569,0.201735341673096,0.8125,0.4764626820882161
m4_hourly,chronos,3,573,0.23480235135389696,0.8125,0.7501805623372396
m4_hourly,chronos,3,576,0.22954913961390655,0.8125,0.7603632609049479
m4_hourly,chronos,3,580,0.2141514114621613,0.8125,0.5551172892252604
m4_hourly,chronos,3,584,0.4074973923464616,1.0,2.8073692321777344
m4_hourly,chronos,3,588,0.3652411557734012,0.8541666666666666,2.143498738606771
m4_hourly,chronos,3,591,0.38481906259225473,0.6875,1.7993329366048176
m4_hourly,chronos,3,595,0.1740124482661486,0.9791666666666666,1.5969746907552083
m4_hourly,chronos,4,767,0.022249452443793415,0.9375,0.16193135579427084
m4_hourly,chronos,4,774,0.020022764615714547,0.9583333333333334,0.16103394826253256
m4_hourly,chronos,4,782,0.022567573934793472,0.9791666666666666,0.16805013020833334
m4_hourly,chronos,4,789,0.021709600153068703,0.9791666666666666,0.18672466278076172
m4_hourly,chronos,4,796,0.023405402720284955,1.0,0.1827392578125
m4_hourly,chronos,4,803,0.02414955534299628,0.7916666666666666,0.14633687337239584
m4_hourly,chronos,4,811,0.022500074052044915,0.9791666666666666,0.16246541341145834
m4_hourly,chronos,4,818,0.025677595841180945,0.875,0.15848223368326822
m4_hourly,chronos,5,767,0.023071274150990778,0.9166666666666666,0.19031778971354166
m4_hourly,chronos,5,774,0.018885937902248566,0.9791666666666666,0.17427571614583334
m4_hourly,chronos,5,782,0.020488237330896983,0.9583333333333334,0.17566935221354166
m4_hourly,chronos,5,789,0.020463892351835964,0.9791666666666666,0.19657389322916666
m4_hourly,chronos,5,796,0.01997171231648988,1.0,0.1805419921875
m4_hourly,chronos,5,803,0.019210597169068127,0.9791666666666666,0.16304524739583334
m4_hourly,chronos,5,811,0.018956847778624955,1.0,0.16538492838541666
m4_hourly,chronos,5,818,0.017694500957926115,1.0,0.15656534830729166
m4_hourly,chronos,6,767,0.0198049452712035,0.9375,0.17394129435221353
m4_hourly,chronos,6,774,0.018682047573383896,0.9583333333333334,0.16752306620279947
m4_hourly,chronos,6,782,0.020534078973448937,0.9583333333333334,0.17493057250976562
m4_hourly,chronos,6,789,0.02244853252131078,0.9583333333333334,0.18719943364461264
m4_hourly,chronos,6,796,0.022889285810136543,0.9375,0.1812260945638021
m4_hourly,chronos,6,803,0.021168150986906966,0.9166666666666666,0.16205406188964844
m4_hourly,chronos,6,811,0.024698302660706557,0.9375,0.16394933064778647
m4_hourly,chronos,6,818,0.029811097253372682,0.875,0.16123549143473306
m4_hourly,chronos,7,569,0.1052167697240495,0.9375,0.7303263346354166
m4_hourly,chronos,7,573,0.11973450141441491,0.7708333333333334,0.6917063395182291
m4_hourly,chronos,7,576,0.11174487743733658,0.7083333333333334,0.6244274775187174
m4_hourly,chronos,7,580,0.09638522365647885,0.9583333333333334,0.7124182383219401
m4_hourly,chronos,7,584,0.09414041711069229,1.0,0.7992426554361979
m4_hourly,chronos,7,588,0.09112108157585479,0.9791666666666666,0.7995440165201823
m4_hourly,chronos,7,591,0.08598242202101068,0.9791666666666666,0.7551066080729166
m4_hourly,chronos,7,595,0.08535735569894315,1.0,0.7003169059753418
m4_hourly,chronos,8,569,0.15908525314718847,0.8541666666666666,1.0495936075846355
m4_hourly,chronos,8,573,0.14967199328788816,0.8541666666666666,1.0105133056640625
m4_hourly,chronos,8,576,0.16836387108099493,0.8125,1.0672098795572917
m4_hourly,chronos,8,580,0.1881645474450326,0.8333333333333334,1.240189790725708
m4_hourly,chronos,8,584,0.12582867810560855,0.8958333333333334,0.9697774251302084
m4_hourly,chronos,8,588,0.12295543281005747,0.8541666666666666,0.8177153269449869
m4_hourly,chronos,8,591,0.11828540293144113,0.9375,0.9163500467936198
m4_hourly,chronos,8,595,0.10723841331750411,0.8958333333333334,0.8029422760009766
m4_hourly,chronos,9,767,0.2042317921554463,0.7291666666666666,0.7929261525472006
m4_hourly,chronos,9,774,0.21496659621285896,0.6666666666666666,0.7030752499898275
m4_hourly,chronos,9,782,0.16048811914709707,0.875,0.7729883193969727
m4_hourly,chronos,9,789,0.160654560647284,0.8541666666666666,0.6837819417317709
m4_hourly,chronos,9,796,0.16174980994417437,0.8125,0.6390787760416666
m4_hourly,chronos,9,803,0.10523278568353917,0.9583333333333334,0.7019119262695312
m4_hourly,chronos,9,811,0.09995509158405992,0.9583333333333334,0.6978937784830729
m4_hourly,chronos,9,818,0.1014665198719336,0.8333333333333334,0.6561381022135416
m4_hourly,chronos,10,569,0.16934205286411774,0.7708333333333334,0.8479436238606771
m4_hourly,chronos,10,573,0.2175504501702057,0.6041666666666666,0.727299690246582
m4_hourly,chronos,10,576,0.28757941116475394,0.5,0.6363576253255209
m4_hourly,chronos,10,580,0.3164413653521074,0.4375,0.6664555867513021
m4_hourly,chronos,10,584,0.30702897318535377,0.4375,0.8008270263671875
m4_hourly,chronos,10,588,0.40049805136190525,0.3333333333333333,0.9757684071858724
m4_hourly,chronos,10,591,0.2812462548237009,0.6041666666666666,0.9227784474690756
m4_hourly,chronos,10,595,0.2943383893564007,0.4791666666666667,0.8168792724609375
m4_hourly,chronos,11,569,0.12838199213664567,0.8125,0.7694142659505209
m4_hourly,chronos,11,573,0.12685494969805908,0.8958333333333334,0.7560373942057291
m4_hourly,chronos,11,576,0.12870922048783137,0.8125,0.754723866780599
m4_hourly,chronos,11,580,0.12353442858697639,0.9166666666666666,0.7872746785481771
m4_hourly,chronos,11,584,0.10715978361873163,0.9583333333333334,0.8170649210611979
m4_hourly,chronos,11,588,0.11940719939561352,0.9791666666666666,0.8482882181803385
m4_hourly,chronos,11,591,0.11360104004205722,0.9791666666666666,0.7914721171061198
m4_hourly,chronos,11,595,0.10541849406306734,0.9375,0.76336669921875
m4_hourly,chronos,12,767,0.025221631611283452,0.875,0.17693010965983072
m4_hourly,chronos,12,774,0.03183624436820133,0.75,0.16965230305989584
m4_hourly,chronos,12,782,0.03132928393315523,0.7708333333333334,0.16907310485839844
m4_hourly,chronos,12,789,0.02897708687879559,0.875,0.20676581064860025
m4_hourly,chronos,12,796,0.024813699087826532,0.8541666666666666,0.18744277954101562
m4_hourly,chronos,12,803,0.0359094124914716,0.6666666666666666,0.16534932454427084
m4_hourly,chronos,12,811,0.03976005815267045,0.6875,0.18437576293945312
m4_hourly,chronos,12,818,0.025969831521312395,0.8333333333333334,0.15912628173828125
m4_hourly,chronos,13,569,0.07152946436156829,0.8541666666666666,0.46304575602213544
m4_hourly,chronos,13,573,0.06667680740356445,0.8958333333333334,0.4482885996500651
m4_hourly,chronos,13,576,0.06724024812380473,0.8958333333333334,0.4773902893066406
m4_hourly,chronos,13,580,0.0649707578950458,0.9166666666666666,0.45870335896809894
m4_hourly,chronos,13,584,0.06393210436734889,0.9375,0.4208577473958333
m4_hourly,chronos,13,588,0.0671007654733128,0.9166666666666666,0.39987436930338544
m4_hourly,chronos,13,591,0.06276010724767628,0.9583333333333334,0.4347635904947917
m4_hourly,chronos,13,595,0.06416127443468819,0.9375,0.4222056070963542
m4_hourly,chronos,14,767,0.0830538562253221,0.9166666666666666,0.6073735555013021
m4_hourly,chronos,14,774,0.08457188359332374,0.9375,0.7101806004842123
m4_hourly,chronos,14,782,0.08286669014616765,0.9375,0.6660003662109375
m4_hourly,chronos,14,789,0.11050426254255903,0.8541666666666666,0.712011973063151
m4_hourly,chronos,14,796,0.13212928736789356,0.7916666666666666,0.7094650268554688
m4_hourly,chronos,14,803,0.1969665810465813,0.7083333333333334,0.7071685791015625
m4_hourly,chronos,14,811,0.19132850341912772,0.6875,0.762915293375651
m4_hourly,chronos,14,818,0.22576952770145406,0.6875,0.8222885131835938
m4_hourly,chronos,15,767,0.03203130213336812,0.75,0.14623006184895834
m4_hourly,chronos,15,774,0.036791727878153324,0.625,0.13705593844254813
m4_hourly,chronos,15,782,0.03942578780568309,0.6666666666666666,0.14506133397420248
m4_hourly,chronos,15,789,0.03697610528518756,0.7083333333333334,0.15167617797851562
m4_hourly,chronos,15,796,0.031704061830209365,0.6458333333333334,0.1312103271484375
m4_hourly,chronos,15,803,0.039522935160332257,0.5833333333333334,0.13920084635416666
m4_hourly,chronos,15,811,0.02788651804957125,0.6666666666666666,0.15137863159179688
m4_hourly,chronos,15,818,0.018789418124490313,0.875,0.139190673828125
m4_hourly,chronos,16,767,0.25064922749168345,0.7083333333333334,0.7888565063476562
m4_hourly,chronos,16,774,0.19373141953514683,0.8541666666666666,0.929724375406901
m4_hourly,chronos,16,782,0.28060657144265455,0.7083333333333334,0.7837041219075521
m4_hourly,chronos,16,789,0.15641373940484804,0.875,0.7873483498891195
m4_hourly,chronos,16,796,0.12980151008555874,0.9583333333333334,0.9845778942108154
m4_hourly,chronos,16,803,0.11925361995430042,0.9375,0.8158353169759115
m4_hourly,chronos,16,811,0.11689507093073592,0.875,0.7177173495292664
m4_hourly,chronos,16,818,0.11374921232151489,0.8958333333333334,0.6505478223164877
m4_hourly,chronos,17,767,0.017917481307975117,0.875,0.13878695170084634
m4_hourly,chronos,17,774,0.017209302913397548,0.8333333333333334,0.12209383646647136
m4_hourly,chronos,17,782,0.0164551228698757,0.8333333333333334,0.11913539965947469
m4_hourly,chronos,17,789,0.01756747866877251,0.9791666666666666,0.1674830118815104
m4_hourly,chronos,17,796,0.020481251305641813,0.9583333333333334,0.14087613423665366
m4_hourly,chronos,17,803,0.020709333337274274,0.7708333333333334,0.13209406534830728
