dataset,bank,mode,mse,windows
m4_hourly,insample,base,0.42152206313861235,576.0
m4_hourly,insample,exact_self_inclusion,2.0964716637885718e-16,576.0
m4_hourly,insample,leave_one_out,0.30215455254062107,576.0
m4_hourly,crossfit,base,1.0988692471861787,144.0
m4_hourly,crossfit,exact_self_inclusion,5.75537935358199e-16,144.0
m4_hourly,crossfit,leave_one_out,0.41025377388421036,144.0
m4_weekly,insample,base,0.2297256731435742,576.0
m4_weekly,insample,exact_self_inclusion,1.485533749185394e-16,576.0
m4_weekly,insample,leave_one_out,0.22886764421266578,576.0
m4_weekly,crossfit,base,0.3726361786949138,144.0
m4_weekly,crossfit,exact_self_inclusion,3.953663688876446e-16,144.0
m4_weekly,crossfit,leave_one_out,0.30813569632554905,144.0
tourism_monthly,insample,base,0.810813851174845,576.0
tourism_monthly,insample,exact_self_inclusion,4.580960853810024e-16,576.0
tourism_monthly,insample,leave_one_out,0.626873070553139,576.0
tourism_monthly,crossfit,base,1.4312303430841793,72.0
tourism_monthly,crossfit,exact_self_inclusion,5.592853769607411e-16,72.0
tourism_monthly,crossfit,leave_one_out,1.0828817199224499,72.0
bitcoin,insample,base,0.36103347453267154,432.0
bitcoin,insample,exact_self_inclusion,8.341772883518684e-17,432.0
bitcoin,insample,leave_one_out,0.259528758761464,432.0
bitcoin,crossfit,base,0.31711178592877254,108.0
bitcoin,crossfit,exact_self_inclusion,5.667994715933144e-17,108.0
bitcoin,crossfit,leave_one_out,0.2285166802562111,108.0
pedestrian,insample,base,0.3807597811253629,576.0
pedestrian,insample,exact_self_inclusion,2.122585417118955e-16,576.0
pedestrian,insample,leave_one_out,0.26642395311924116,576.0
pedestrian,crossfit,base,0.7116353266100037,144.0
pedestrian,crossfit,exact_self_inclusion,2.80113306594119e-16,144.0
pedestrian,crossfit,leave_one_out,0.2973625623505711,144.0
kdd_air,insample,base,0.8090976201789304,576.0
kdd_air,insample,exact_self_inclusion,2.7326077069848e-16,576.0
kdd_air,insample,leave_one_out,0.475485966924463,576.0
kdd_air,crossfit,base,0.36658088854221327,144.0
kdd_air,crossfit,exact_self_inclusion,1.1583081831075522e-16,144.0
kdd_air,crossfit,leave_one_out,0.3077189916029124,144.0
nn5,insample,base,0.7253640619922967,576.0
nn5,insample,exact_self_inclusion,4.294208187786688e-16,576.0
nn5,insample,leave_one_out,0.6250327290419682,576.0
nn5,crossfit,base,1.0610252035424885,144.0
nn5,crossfit,exact_self_inclusion,5.482089265431799e-16,144.0
nn5,crossfit,leave_one_out,0.413890513938852,144.0
fred_md,insample,base,0.17079179276178486,576.0
fred_md,insample,exact_self_inclusion,1.0341947972965879e-16,576.0
fred_md,insample,leave_one_out,0.160830470305683,576.0
fred_md,crossfit,base,0.2621411157661212,144.0
fred_md,crossfit,exact_self_inclusion,1.2365783802420506e-16,144.0
fred_md,crossfit,leave_one_out,0.1467855521477224,144.0
rideshare,insample,base,0.9525747237266066,576.0
rideshare,insample,exact_self_inclusion,1.7006484385144388e-16,576.0
rideshare,insample,leave_one_out,0.04627919999804775,576.0
rideshare,crossfit,base,0.5103808982456153,144.0
rideshare,crossfit,exact_self_inclusion,3.289549702593056e-17,144.0
rideshare,crossfit,leave_one_out,0.017478925187041656,144.0
temperature_rain,insample,base,1.0752968503619789,576.0
temperature_rain,insample,exact_self_inclusion,3.130728146639434e-16,576.0
temperature_rain,insample,leave_one_out,1.2660779237586932,576.0
temperature_rain,crossfit,base,0.7393266355520409,144.0
temperature_rain,crossfit,exact_self_inclusion,2.9865926832122367e-16,144.0
temperature_rain,crossfit,leave_one_out,0.8473271055532613,144.0
