dataset,seed,mse
m4_hourly,3407,0.3669692066548798
m4_hourly,9119,0.3223328934824556
m4_hourly,17231,0.33102420469368493
m4_weekly,3407,1.1937602282469202
m4_weekly,9119,1.1430027601454549
m4_weekly,17231,1.244331889763405
tourism_monthly,3407,22.65433387476932
tourism_monthly,9119,22.250238928492013
tourism_monthly,17231,22.28002669942816
bitcoin,3407,1789.5770603660733
bitcoin,9119,1732.9554442332437
bitcoin,17231,1776.7856201371674
pedestrian,3407,0.38211188526931344
pedestrian,9119,0.34796060006846813
pedestrian,17231,0.33131494506296477
kdd_air,3407,1.3027636034495516
kdd_air,9119,1.3014644849943064
kdd_air,17231,1.3011605066583802
nn5,3407,1.6625432022453654
nn5,9119,1.6626363971609848
nn5,17231,1.6424026144296633
fred_md,3407,28.606141549307022
fred_md,9119,25.83759524720871
fred_md,17231,25.800737902094472
rideshare,3407,2.7938893875955277
rideshare,9119,2.789537848295201
rideshare,17231,3.816234391177749
temperature_rain,3407,10.578969260021053
temperature_rain,9119,10.577218409990556
temperature_rain,17231,10.578050816461577
