dataset,checkpoint,seed,epoch,train_mse,validation_mse
bitcoin,crossfit_seed_17231,17231,1.0,0.42913879840462293,0.42913879840462293
bitcoin,crossfit_seed_17231,17231,2.0,0.425546955547215,0.425546955547215
bitcoin,crossfit_seed_17231,17231,3.0,0.41784956609761276,0.41784956609761276
bitcoin,crossfit_seed_17231,17231,4.0,0.40002021818985173,0.40002021818985173
bitcoin,crossfit_seed_17231,17231,5.0,0.36358535952038235,0.36358535952038235
bitcoin,crossfit_seed_17231,17231,6.0,0.3157764807527448,0.3157764807527448
bitcoin,crossfit_seed_17231,17231,7.0,0.2668773149266655,0.2668773149266655
bitcoin,crossfit_seed_17231,17231,8.0,0.2143872501673522,0.2143872501673522
bitcoin,crossfit_seed_17231,17231,9.0,0.20419487449122065,0.20419487449122065
bitcoin,crossfit_seed_17231,17231,10.0,0.260927865166723,0.260927865166723
bitcoin,crossfit_seed_17231,17231,11.0,0.19788087720488323,0.19788087720488323
bitcoin,crossfit_seed_17231,17231,12.0,0.18423673528947948,0.18423673528947948
bitcoin,crossfit_seed_17231,17231,13.0,0.16786702814293497,0.16786702814293497
bitcoin,crossfit_seed_17231,17231,14.0,0.17493822122061695,0.17493822122061695
bitcoin,crossfit_seed_17231,17231,15.0,0.16983038279009455,0.16983038279009455
bitcoin,crossfit_seed_17231,17231,16.0,0.16543440189626482,0.16543440189626482
bitcoin,crossfit_seed_3407,3407,1.0,0.42963847711130426,0.42963847711130426
bitcoin,crossfit_seed_3407,3407,2.0,0.4262838474026433,0.4262838474026433
bitcoin,crossfit_seed_3407,3407,3.0,0.42128710356759436,0.42128710356759436
bitcoin,crossfit_seed_3407,3407,4.0,0.4090205430984497,0.4090205430984497
bitcoin,crossfit_seed_3407,3407,5.0,0.3849829198033721,0.3849829198033721
bitcoin,crossfit_seed_3407,3407,6.0,0.3472704261909296,0.3472704261909296
bitcoin,crossfit_seed_3407,3407,7.0,0.2951620164108865,0.2951620164108865
bitcoin,crossfit_seed_3407,3407,8.0,0.23881869404404252,0.23881869404404252
bitcoin,crossfit_seed_3407,3407,9.0,0.20012677506900128,0.20012677506900128
bitcoin,crossfit_seed_3407,3407,10.0,0.18757495707199898,0.18757495707199898
bitcoin,crossfit_seed_3407,3407,11.0,0.186296499437756,0.186296499437756
bitcoin,crossfit_seed_3407,3407,12.0,0.15389282486321013,0.15389282486321013
bitcoin,crossfit_seed_3407,3407,13.0,0.16725713032999157,0.16725713032999157
bitcoin,crossfit_seed_3407,3407,14.0,0.159900528781208,0.159900528781208
bitcoin,crossfit_seed_3407,3407,15.0,0.1759201497943313,0.1759201497943313
bitcoin,crossfit_seed_3407,3407,16.0,0.15343510957411777,0.15343510957411777
bitcoin,crossfit_seed_9119,9119,1.0,0.42915884046642866,0.42915884046642866
bitcoin,crossfit_seed_9119,9119,2.0,0.425960330683508,0.425960330683508
bitcoin,crossfit_seed_9119,9119,3.0,0.4189396691911014,0.4189396691911014
bitcoin,crossfit_seed_9119,9119,4.0,0.4006401316987144,0.4006401316987144
bitcoin,crossfit_seed_9119,9119,5.0,0.3680542368947724,0.3680542368947724
bitcoin,crossfit_seed_9119,9119,6.0,0.33285444183849994,0.33285444183849994
bitcoin,crossfit_seed_9119,9119,7.0,0.2638157495745906,0.2638157495745906
bitcoin,crossfit_seed_9119,9119,8.0,0.22160608974503881,0.22160608974503881
bitcoin,crossfit_seed_9119,9119,9.0,0.20314553288030035,0.20314553288030035
bitcoin,crossfit_seed_9119,9119,10.0,0.20077908922124793,0.20077908922124793
bitcoin,crossfit_seed_9119,9119,11.0,0.1970052719116211,0.1970052719116211
bitcoin,crossfit_seed_9119,9119,12.0,0.1551857805914349,0.1551857805914349
bitcoin,crossfit_seed_9119,9119,13.0,0.15920458237330118,0.15920458237330118
bitcoin,crossfit_seed_9119,9119,14.0,0.15392643526012514,0.15392643526012514
bitcoin,crossfit_seed_9119,9119,15.0,0.16835740484573222,0.16835740484573222
bitcoin,crossfit_seed_9119,9119,16.0,0.16796914092552515,0.16796914092552515
bitcoin,final_seed_17231,17231,1.0,0.3879715822361134,6.716688368055555
bitcoin,final_seed_17231,17231,2.0,0.3857473134994507,6.70547477816358
bitcoin,final_seed_17231,17231,3.0,0.3814101340594115,6.693810281635803
bitcoin,final_seed_17231,17231,4.0,0.3721061172308745,6.6770785108024695
bitcoin,final_seed_17231,17231,5.0,0.3590427537759145,6.648356722608025
bitcoin,final_seed_17231,17231,6.0,0.3406716022226546,6.590823929398148
bitcoin,final_seed_17231,17231,7.0,0.32205838958422345,6.483631727430556
bitcoin,final_seed_17231,17231,8.0,0.3060223658879598,6.3553409529320986
bitcoin,final_seed_17231,17231,9.0,0.3084417195231826,6.308622685185185
bitcoin,final_seed_17231,17231,10.0,0.27654524864973845,6.289190899884259
bitcoin,final_seed_17231,17231,11.0,0.27188711916958846,6.336323302469136
bitcoin,final_seed_17231,17231,12.0,0.26994817124472725,6.388897328317901
bitcoin,final_seed_17231,17231,13.0,0.2639431092474196,6.414811197916666
bitcoin,final_seed_17231,17231,14.0,0.25870711273617214,6.387669994212963
bitcoin,final_seed_3407,3407,1.0,0.38810039891137016,6.715331428433642
bitcoin,final_seed_3407,3407,2.0,0.38616740041308933,6.706041425540123
bitcoin,final_seed_3407,3407,3.0,0.38333470512319495,6.693699966242284
bitcoin,final_seed_3407,3407,4.0,0.3776883902373137,6.677525800540123
bitcoin,final_seed_3407,3407,5.0,0.36427342229419285,6.651642674575617
bitcoin,final_seed_3407,3407,6.0,0.3492471233562187,6.602522183641975
bitcoin,final_seed_3407,3407,7.0,0.33170868897879563,6.513447024498457
bitcoin,final_seed_3407,3407,8.0,0.31636245603914614,6.403098476080247
bitcoin,final_seed_3407,3407,9.0,0.301772251173302,6.31021110628858
bitcoin,final_seed_3407,3407,10.0,0.2821602777198509,6.2974928867669755
bitcoin,final_seed_3407,3407,11.0,0.2643921573956807,6.306849199459877
bitcoin,final_seed_3407,3407,12.0,0.2561408755955873,6.337407769097222
bitcoin,final_seed_3407,3407,13.0,0.24497459884043093,6.381406732253087
bitcoin,final_seed_3407,3407,14.0,0.24828098659162168,6.394056230709877
bitcoin,final_seed_9119,9119,1.0,0.38785899789245043,6.715621383101852
bitcoin,final_seed_9119,9119,2.0,0.3858716543074007,6.704341483410494
bitcoin,final_seed_9119,9119,3.0,0.381822129090627,6.6918330439814815
bitcoin,final_seed_9119,9119,4.0,0.37584449295644407,6.674579836998457
bitcoin,final_seed_9119,9119,5.0,0.36089393496513367,6.646927445023148
bitcoin,final_seed_9119,9119,6.0,0.3464678945364775,6.594612630208333
bitcoin,final_seed_9119,9119,7.0,0.33207460465254607,6.504695336612654
bitcoin,final_seed_9119,9119,8.0,0.3205687999725342,6.401586612654321
bitcoin,final_seed_9119,9119,9.0,0.30634381704860264,6.318565538194444
bitcoin,final_seed_9119,9119,10.0,0.28233013329682527,6.275846956983025
bitcoin,final_seed_9119,9119,11.0,0.26910248012454424,6.223189742476852
bitcoin,final_seed_9119,9119,12.0,0.27257674049448083,6.205281274112655
